id,Link-to-record,edition-URL,translation-URL,Edition-issue,Translation-issue,Other-issue
20,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/20.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.543-1.551,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.543-1.551,,,
200,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/200.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:29.17-29.18,http://data.perseus.org/citations/,,no URN,
201,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/201.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:30.18,http://data.perseus.org/citations/,,no URN,
21,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/21.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:1.613-1.616,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:1.613-1.616,,,
22,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/22.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.14-2.19,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.14-2.19,,,
23,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/23.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.169-2.174,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.169-2.174,,,
25,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/25.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.232-2.244,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.232-2.244,,,
26,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/26.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.266,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.266,,,
27,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/27.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.277-2.292,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.277-2.292,,,
28,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/28.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.409-2.413,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.409-2.413,,,
29,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/29.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.449-2.460,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.449-2.460,,,
3,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/3.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:15.293,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:15.293,,,
30,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/30.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:2.507-2.513,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:2.507-2.513,,,
31,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/31.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:3.410,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:3.410,,,
32,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/32.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:4.663,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:4.663,,,
33,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/33.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:5.1,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:5.1,,,
34,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/34.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:5.40,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:5.40,,,
35,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/35.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:7.20,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:7.20,,,
36,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/36.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:7.23,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:7.23,,,
37,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/37.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:7.36,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:7.36,,,
39,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/39.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:7.361-7.376,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:7.361-7.376,,,
4,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/4.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:15.331-15.341,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:15.331-15.341,,,
40,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/40.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-grc1:7.407,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg004.perseus-eng1:7.407,,,
41,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/41.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg002.perseus-grc1:52-61,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg002.perseus-eng1:52-61,,,
42,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/42.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg002.perseus-grc1:65-68,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg002.perseus-eng1:65-68,,,
43,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/43.xml,urn:cts:latinLit:phi0978.phi001.perseus-lat1:5.13,urn:cts:latinLit:phi0978.phi001.perseus-eng1:5.13,No base,No base,
44,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/44.xml,urn:cts:latinLit:phi1351.phi004.perseus-lat2:2.82-2.83,urn:cts:latinLit:phi1351.phi004.perseus-eng1:2.82-2.83,No base,No base,
48,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/48.xml,,,no URN or base,no URN or base,
5,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/5.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:16.13,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:16.13,,,
50,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/50.xml,https://scaife.perseus.org/reader/urn:cts:latinLit:stoa0023.stoa001.perseus-lat2:14.11,https://scaife.perseus.org/reader/urn:cts:latinLit:stoa0023.stoa001.perseus-eng2:14.11,,,
53,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/53.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:11.25,,,no URN or base,
54,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/54.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:11.29,,,no URN or base,
55,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/55.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg4029.tlg002.perseus-grc1:27.26-27.31,,,no URN or base,
57,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/57.xml,,,no URN or base,no URN or base,
6,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/6.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:16.136-16.141,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:16.136-16.141,,,
65,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/65.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:6.5,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:6.5,,,
66,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/66.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:9.30,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:9.30,,,
67,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/67.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:10.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:10.1,,,
68,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/68.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:10.24,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:10.24,,,
69,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/69.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:10.34,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:10.34,,,
70,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/70.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:10.44-10.48,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:10.44-10.48,,,
71,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/71.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:11.1-11.18,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:11.1-11.18,,,
72,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/72.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:12.19-12.23,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:12.19-12.23,,,
73,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/73.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:18.22,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:18.22,,,
74,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/74.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:21.8-21.9,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:21.8-21.9,,,
75,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/75.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:21.16,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:21.16,,,
76,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/76.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:23.23,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:23.23,,,
77,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/77.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:24.1-24.27,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:24.1-24.27,,,
78,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/78.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-grc2:25.6-26.32,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg0031.tlg005.perseus-eng2:25.6-26.32,,,
79,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/79.xml,,,no URN or base,no URN or base,
8,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/8.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:17.77-17.78,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:17.77-17.78,,,
9,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/9.xml,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-grc1:17.219-17.223,http://data.perseus.org/citations/urn:cts:greekLit:tlg0526.tlg001.perseus-eng1:17.219-17.223,,,
92,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/92.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:2.3.3,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:2.3.3,,,
93,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/93.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:2.10.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:2.10.1,,,
94,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/94.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:2.10.3,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:2.10.3,,,
95,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/95.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:3.31.5,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:3.31.5,,,
97,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/97.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:5.22.1,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:5.22.1,,,
98,https://github.com/srophe/caesarea-data/blob/master/data/testimonia/tei/98.xml,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-grc2:5.23.3,https://scaife.perseus.org/reader/urn:cts:greekLit:tlg2018.tlg002.opp-eng1:5.23.3,,,
