Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Darabgird,Darabgird,,syriaca.org/place/4240,,,,,,,,,9,,,,,,9,826
Dasht-e Kavir,Dasht-e Kavir,,syriaca.org/place/4241,,,,,,,,,9,,,,,,9,826
Dasht-e Lut,Dasht-e Lut,,syriaca.org/place/4242,,,,,,,,,9,,,,,,9,826
Dasqarta d-Malka,Dasqarta d-Malka,,syriaca.org/place/4016,1,,,,,,,8,,,,,,,"1, 8",826
Datong,Datong,Xijing,syriaca.org/place/4417,,,,,,,,,,,11,,,,11,826
Daybul,Daybul,,syriaca.org/place/4243,,,,,,,,,9,,11,,,,"9, 11",826
Dayirin,Dayirin,Tarut,syriaca.org/place/4150,,,,,,6,,,9,,,,,,"6, 9",826
Dayr al-Suryan,Dayr al-Suryan,,syriaca.org/place/360,,,,,5,,,,,,,,,,5,826
Dayr al-Zaʿfaran,Dayr al-Zaʿfaran,,syriaca.org/place/69,,,,,,,,,,,,,,14,14,827
Dayr Qannubin,Dayr Qannubin,,syriaca.org/place/270,,,,4,,,,,,,,,,,4,827
Dead Sea,Dead Sea,,syriaca.org/place/4017,,,,,5,,,,,,,,,,5,827
Delhi,Delhi,,syriaca.org/place/4354,,,,,,,,,,,11,,,,11,827
Diamper,Diamper,Udayamperur ,syriaca.org/place/4432,,,,,,,,,,,,12,13,,"12, 13",827
Didao,Didao,Lintao,syriaca.org/place/4469,,,,,,,,,,,11,,,,11,827
Dinawar,Dinawar,,syriaca.org/place/4070,,2,,,,,,8,9,,,,,,"2, 8, 9",827
Diyala River,Diyala River,,syriaca.org/place/4186,1,2,,,,,7,8,,,,,,,"1, 2, 7, 8",827
Diyana,Diyana,,syriaca.org/place/1169,,,,,,,,,,,,,,14,14,827
Diyarbakir,Diyarbakir,Amida,syriaca.org/place/8,,2,,,,,7,,,,,,,,"2, 7",827
Dobe,Dobe,,syriaca.org/place/4454,,,,,,,,,,,,,,14,14,827
Dohok,Dohok,Dohuk,syriaca.org/place/76,,,,,,,,,,,,,,14,14,827
Dohuk,Dohuk,Dohok,syriaca.org/place/76 ,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Drangtse,Drangtse,Tangtse,syriaca.org/place/4287,,,,,,,,,,10,,,,,10,827
Dumatha,Dumatha,Adummatu,syriaca.org/place/4001,1,,,,,,,,,,,,,,1,827
Dunhuang,Dunhuang,,syriaca.org/place/4000,,,,,,,,,,,11,,,,11,827
Dura,Dura,Europos,syriaca.org/place/77,1,,,,,,7,,,,,,,,"1, 7",827
Dvin,Dvin,,syriaca.org/place/4018,1,2,,,,,,,9,,,,,,"1, 2, 9",827
Echmiadzin,Echmiadzin,Vagharshapat,syriaca.org/place/4054,,2,,,,,,,,,,,,,2,827
Edappally,Edappally,,syriaca.org/place/4529,,,,,,,,,,,,,13,,13,827
Edessa,Edessa,,syriaca.org/place/78,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Egypt,Egypt,,syriaca.org/place/715,,,,,5,6,,,,,,,,,"5, 6",827
Ehden,Ehden,Mar Sargis,syriaca.org/place/271,,,,4,,,,,,,,,,,4,827
Elam,Elam,"Beth Ḥuzaye, Khuzistan",syriaca.org/place/706,1,,,,,,,8,,,,,,,"1, 8",827
"Emei, Mount",Mount Emei,,syriaca.org/place/4479,,,,,,,,,,,11,,,,11,827
Emesa,Emesa,Ḥomṣ,syriaca.org/place/215,1,,3,,,,,,,,,,,,"1, 3",827
Enaton,Enaton,,syriaca.org/place/473,,,,,5,,,,,,,,,,5,827
Epiphaneia,Epiphaneia,Ḥama,syriaca.org/place/91,1,,3,,,,,,,,,,,,"1, 3",827
Erbil,Erbil,"Arbel, Arbela",syriaca.org/place/13 ,,2,,,,,7,,9,,,,,,"2, 7, 9",827
Erzincan,Erzincan,Erznka,syriaca.org/place/284,,2,,,,,7,,,,,,,,"2, 7",827
Erznka,Erznka,Erzincan,syriaca.org/place/284,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Erzurum,Erzurum,Theodosiopolis,syriaca.org/place/484,,2,,,,,,,,,,,,,2,827
Eshnuq,Eshnuq,Šəno,syriaca.org/place/2301,,,,,,,7,,,,,,,14,"7, 14",827
Estil,Estil,,syriaca.org/place/4455,,,,,,,,,,,,,,14,14,827
Ethiopia ,Ethiopia ,,syriaca.org/place/4541,,,,,,6,,,,,,,,,6,827
Euphrates River,Euphrates River,,syriaca.org/place/82,1,2,3,,,,7,8,9,,,,,,"1, 2, 3, 7, 8, 9",827
Europos,Europos,Dura,syriaca.org/place/77,1,,,,,,7,,,,,,,,"1, 7",827
Failaka Island,Failaka Island,,syriaca.org/place/4471,,,,,,6,,,,,,,,,6,827
Farab,Farab,Otrar,syriaca.org/place/4315,,,,,,,,,,10,,,,,10,827
Farah,Farah,Aprah,syriaca.org/place/4226,,,,,,,,,9,10,,,,,"9, 10",827
Faras,Faras,,syriaca.org/place/4153,,,,,,6,,,,,,,,,6,827
Fars,Fars,Beth Parsaye,syriaca.org/place/84,,,,,,6,,,9,,,,,,"6, 9",827
"Fayyum, Lake",Lake Fayyum,,syriaca.org/place/4134,,,,,5,,,,,,,,,,5,827
Fengzhou,Fengzhou,Huhhot,syriaca.org/place/4356,,,,,,,,,,,11,,,,11,827
Ferghana,Ferghana,,syriaca.org/place/4358,,,,,,,,,,10,11,,,,"10, 11",827
Fushanj,Fushanj,"Ghurian, Pushang",syriaca.org/place/4261,,,,,,,,,9,10,,,,,"9, 10",827
Gabala,Gabala,,syriaca.org/place/85,,,3,,,,,,,,,,,,3,827
Gadara,Gadara,,syriaca.org/place/4128,,,,,5,,,,,,,,,,5,827
Galatia,Galatia,,syriaca.org/place/4019,1,,,,,,,,,,,,,,1,827
Ganges River,Ganges River,,syriaca.org/place/4472,,,,,,,,,,,11,,,,11,827
Ganzak,Ganzak,,syriaca.org/place/4020,1,,,,,,7,,9,,,,,,"1, 7, 9",827
Ganzhou,Ganzhou,Zhangye,syriaca.org/place/4359,,,,,,,,,,,11,,,,11,827
Gaochang,Gaochang,Qara Qocho,syriaca.org/place/4319,,,,,,,,,,10,,,,,10,827
Gawar,Gawar,Yüksekova,syriaca.org/place/815,,,,,,,,,,,,,,14,14,827
Gawilan,Gawilan,,syriaca.org/place/247,,,,,,,,,,,,,,14,14,827
Gaza,Gaza,,syriaca.org/place/87,1,2,,,5,,,,,,,,,,"1, 2, 5",827
Gazarta,Gazarta,Cizre,syriaca.org/place/88,1,2,,,,,7,,,,,,,,"1, 2, 7",827
Gerasa,Gerasa,,syriaca.org/place/4021,1,,,,5,,,,,,,,,,"1, 5",827
Germanicea,Germanicea,Marʿash,syriaca.org/place/89,1,,3,,,,,,,,,,,,"1, 3",827
Ghazni,Ghazni,,syriaca.org/place/4244,,,,,,,,,9,10,,,,,"9, 10",827
Ghinghintalas,Ghinghintalas,Barköl,syriaca.org/place/4339,,,,,,,,,,,11,,,,11,827
Ghurian,Ghurian,"Fushanj, Pushang",syriaca.org/place/4261,,,,,,,,,9,10,,,,,"9, 10",827
Gilan,Gilan,,syriaca.org/place/4022,1,2,,,,,,,9,,,,,,"1, 2, 9",827
Gilgird,Gilgird,Malviran,syriaca.org/place/4205,,,,,,,,8,,,,,,,8,827
Gilgit,Gilgit,,syriaca.org/place/4289,,,,,,,,,,10,11,,,,"10, 11",827
Goa,Goa,,syriaca.org/place/822,,,,,,,,,,,11,,,,11,827
Gobi Desert,Gobi Desert,,syriaca.org/place/4360,,,,,,,,,,,11,,,,11,827
Godavari River,Godavari River,,syriaca.org/place/4361,,,,,,,,,,,11,,,,11,827
Golkonda,Golkonda,Hyderabad,syriaca.org/place/4362,,,,,,,,,,,11,,,,11,827
Gomel,Gomel,,syriaca.org/place/4187,,,,,,,7,,,,,,,14,"7, 14",827
Gondeshapur,Gondeshapur,"Beth Lapaṭ, Jundishabur",syriaca.org/place/35 ,1,,,,,,,8,,,,,,,"1, 8",827
Gor,Gor,,syriaca.org/place/4245,,,,,,,,,9,,,,,,9,827
Guangzhou,Guangzhou,,syriaca.org/place/4364,,,,,,,,,,,11,,,,11,827
Gulf of Mannar ,Gulf of Mannar ,,syriaca.org/place/4434,,,,,,,,,,,,12,,,12,827
Gurganj,Gurganj,Konye-Urgench,syriaca.org/place/4298,,,,,,,,,,10,,,,,10,827
Ḥadithat al-Furat,Ḥadithat al-Furat,,syriaca.org/place/4071,,2,,,,,7,,,,,,,,"2, 7",827
Ḥadyab,Ḥadyab,Adiabene,syriaca.org/place/993,,2,,,,,7,,,,,,,14,"2, 7, 14",827
Hagar,Hagar,,syriaca.org/place/4155,,,,,,6,,,,,,,,,6,827
Ḥaḥ,Ḥaḥ,,syriaca.org/place/217,,,,,,,,,,,,,,14,14,827
Hailun,Hailun,,syriaca.org/place/4473,,,,,,,,,,,11,,,,11,827
Hainan,Hainan,,syriaca.org/place/4365,,,,,,,,,,,11,,,,11,827
Hakkari,Hakkari,Julamerk,syriaca.org/place/2310,,2,,,,,7,,,,,,,14,"2, 7, 14",827
Ḥalabja,Ḥalabja,,syriaca.org/place/4188,,,,,,,7,8,,,,,,,"7, 8",827
Ḥama,Ḥama,Epiphaneia,syriaca.org/place/91,,2,3,,,,,,,,,,,,"2, 3",827
Hamadan,Hamadan,,syriaca.org/place/823,1,2,,,,,,8,9,,,,,,"1, 2, 8, 9",827
Hangzhou,Hangzhou,Lin’an,syriaca.org/place/4380,,,,,,,,,,,11,,,,11,827
Hari Rud,Hari Rud,,syriaca.org/place/4247,,,,,,,,,9,10,,,,,"9, 10",828
Ḥarran,Ḥarran,Carrhae,syriaca.org/place/216,1,2,,,,,7,,,,,,,,"1, 2, 7",828
Hasankeyf,Hasankeyf,Ḥesna d-Kifa,syriaca.org/place/92,,,,,,,,,,,,,,14,14,828
Ḥaṭra,Ḥaṭra,,syriaca.org/place/93,1,,,,,,7,,,,,,,,"1, 7",828
Ḥaṭṭa,Ḥaṭṭa,al-Qaṭif,syriaca.org/place/4156,,,,,,6,,,9,,,,,,"6, 9",828
Ḥdatta,Ḥdatta,,syriaca.org/place/2096,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",828
Ḥebton,Ḥebton,Ḥnitha,syriaca.org/place/2316,,,,,,,,,,,,,,14,14,828
Hejian,Hejian,,syriaca.org/place/4366,,,,,,,,,,,11,,,,11,828
Heliopolis,Heliopolis,Baʿalbak,syriaca.org/place/577,1,,,4,,,,,,,,,,,"1, 4",828
Helmand River,Helmand River,,syriaca.org/place/4248,,,,,,,,,9,,,,,,9,828
Herat,Herat,,syriaca.org/place/523,,,,,,,,,9,10,,,,,"9, 10",828
Hertevin,Hertevin,,syriaca.org/place/4456,,,,,,,,,,,,,,14,14,828
Ḥesna d-Kifa,Ḥesna d-Kifa,Hasankeyf,syriaca.org/place/92,,2,,,,,7,,,,,,,14,"2, 7, 14",828
Hierapolis,Hierapolis,"Mabbug, Manbij",syriaca.org/place/122,1,,3,,,,7,,,,,,,,"1, 3, 7",828
Himalaya Range,Himalaya Range,,syriaca.org/place/4290,,,,,,,,,,10,11,,,,"10, 11",828
Hindu Kush Range,Hindu Kush Range,,syriaca.org/place/4367,,,,,,,,,9,10,11,,,,"9, 10, 11",828
Ḥirta,Ḥirta,al-Ḥira,syriaca.org/place/219,1,,,,,,,8,,,,,,,"1, 8",828
Ḥirta d-Ṭayyaye,Ḥirta d-Ṭayyaye,al-Jabiya,syriaca.org/place/4026,1,,,,5,,,,,,,,,,"1, 5",828
Hit,Hit,,syriaca.org/place/4072,,2,,,,,,8,,,,,,,"2, 8",828
Ḥnitha,Ḥnitha,Ḥebton,syriaca.org/place/2316,,,,,,,,,,,,,,14,14,828
Ḥomṣ,Ḥomṣ,Emesa,syriaca.org/place/215,,2,3,,,,,,,,,,,,"2, 3",828
Hormuz,Hormuz,,syriaca.org/place/4158,,,,,,6,,,9,,,,,,"6, 9",828
Hormuz-Ardashir,Hormuz-Ardashir,Ahvaz,syriaca.org/place/96,1,,,,,,,8,9,,,,,,"1, 8, 9",828
Ḥrbath Glal,Ḥrbath Glal,,syriaca.org/place/4458,,,,,,,7,,,,,,,14,"7, 14",828
Hromkla,Hromkla,Qalʿa Rumayta,syriaca.org/place/97,,2,3,,,,7,,,,,,,,"2, 3, 7",828
Huhhot,Huhhot,Fengzhou,syriaca.org/place/4356,,,,,,,,,,,11,,,,11,828
Ḥulwan,Ḥulwan,Beth Lashpar,syriaca.org/place/220 ,1,2,,,,,7,8,,,,,,,"1, 2, 7, 8",828
Hyderabad,Hyderabad,Golkonda,syriaca.org/place/4362,,,,,,,,,,,11,,,,11,828
Iconium,Iconium,,syriaca.org/place/4024,1,,,,,,,,,,,,,,1,828
Ili River,Ili River,,syriaca.org/place/4291,,,,,,,,,,10,11,,,,"10, 11",828
India,India,,syriaca.org/place/500,,,,,,,,,,,11,12,13,,"11, 12, 13",828
Indian Ocean,Indian Ocean,,syriaca.org/place/4159,,,,,,6,,,,,,12,13,,"6, 12, 13",828
Indus River,Indus River,,syriaca.org/place/4249,,,,,,,,,9,10,11,,,,"9, 10, 11",828
Iran,Iran,Persia,syriaca.org/place/4073,,2,,,,,,8,9,,,,,,"2, 8, 9",828
Iraq,Iraq,,syriaca.org/place/98,,2,,,,,,8,,,,,,,"2, 8",828
Irrawaddy River,Irrawaddy River,,syriaca.org/place/4368,,,,,,,,,,,11,,,,11,828
Iskenderun,Iskenderun,Alexandretta,syriaca.org/place/663,,,3,,,,,,,,,,,,3,828
Islamabad,Islamabad,,syriaca.org/place/4292,,,,,,,,,,10,11,,,,"10, 11",828
Ispahan,Ispahan,,syriaca.org/place/830,,,,,,,,,9,,,,,,9,828
"Issyk Kul, Lake",Lake Issyk Kul,,syriaca.org/place/4476,,,,,,,,,,10,,,,,10,828
Iṣṭakhr,Iṣṭakhr,,syriaca.org/place/4250,,,,,,,,,9,,,,,,9,828
Ivan-e Karkha,Ivan-e Karkha,Karka d-Ledan,syriaca.org/place/656,,,,,,,,8,,,,,,,8,828
"Izla, Mount",Mount Izla,,syriaca.org/place/100,,,,,,,,,,,,,,14,14,828
Jaffa,Jaffa,,syriaca.org/place/4074,,2,,,5,,,,,,,,,,"2, 5",828
Jaffna,Jaffna,Yalpanam,syriaca.org/place/4435,,,,,,,,,,,,12,,,12,828
Jam-Baliq,Jam-Baliq,,syriaca.org/place/4293,,,,,,,,,,10,11,,,,"10, 11",828
Janza,Janza,,syriaca.org/place/4075,,2,,,,,,,,,,,,,2,828
Jaxartes River,Jaxartes River,Syr Darya River,syriaca.org/place/4406,,,,,,,,,,10,11,,,,"10, 11",828
Jazira,Jazira,,syriaca.org/place/321,,2,,,,,7,,,,,,,14,"2, 7, 14",828
Jerusalem,Jerusalem,,syriaca.org/place/104,1,2,,,5,,,,,,,,,,"1, 2, 5",828
Jiankang,Jiankang,Nanjing,syriaca.org/place/4369,,,,,,,,,,,11,,,,11,828
Jibal,Jibal,,syriaca.org/place/4077,,2,,,,,,,,,,,,,2,828
Jidda,Jidda,,syriaca.org/place/4526,,,,,,6,,,,,,,,,6,828
Jilu,Jilu,,syriaca.org/place/759,,,,,,,,,,,,,,14,14,828
Jiuquan,Jiuquan,Suzhou,syriaca.org/place/4404,,,,,,,,,,,11,,,,11,828
Joppa,Joppa,,syriaca.org/place/4027,1,,,,,,,,,,,,,,1,828
Jordan,Jordan,,syriaca.org/place/4129,,,,,5,,,,,,,,,,5,828
Jordan River,Jordan River,,syriaca.org/place/4114,,,,4,5,,,,,,,,,,"4, 5",828
Jubayl,Jubayl,Byblos,syriaca.org/place/52,,2,,4,,,,,,,,,,,"2, 4",828
Jubayl,Jubayl,Ramat,syriaca.org/place/4485,,,,,,6,,,,,,,,,6,828
Jubbʿadin,Jubbʿadin,,syriaca.org/place/4115,,,,4,,,,,,,,,,,4,828
Judean Desert,Judean Desert,,syriaca.org/place/4130,,,,,5,,,,,,,,,,5,828
Julamerk,Julamerk,Hakkari,syriaca.org/place/107,,,,,,,7,,,,,,,14,"7, 14",828
Jundishabur,Jundishabur,"Beth Lapaṭ, Gondeshapur",syriaca.org/place/35 ,,2,,,,,,8,,,,,,,"2, 8",828
Kabul,Kabul,,syriaca.org/place/4251,,,,,,,,,9,10,11,,,,"9, 10, 11",828
Kadamattam,Kadamattam,,syriaca.org/place/4530,,,,,,,,,,,,,13,,13,828
Kaduthuruthy ,Kaduthuruthy ,,syriaca.org/place/4510,,,,,,,,,,,,12,13,,"12, 13",828
Kaifeng,Kaifeng,Bian,syriaca.org/place/4342,,,,,,,,,,,11,,,,11,828
Kalyan,Kalyan,Calliana,syriaca.org/place/4371,,,,,,,,,,,11,,,,11,828
Kamacha,Kamacha,"Camacha, Kamakh",syriaca.org/place/4014,,,,,,,7,,,,,,,,7,828
Kamakh,Kamakh,"Camacha, Kamacha",syriaca.org/place/4014,,2,,,,,7,,,,,,,,"2, 7",828
Kandanad,Kandanad,,syriaca.org/place/448,,,,,,,,,,,,,13,,13,828
Kanjur,Kanjur,,syriaca.org/place/4531,,,,,,,,,,,,,13,,13,828
Karachi,Karachi,,syriaca.org/place/4252,,,,,,,,,9,,11,,,,"9, 11",828
Karaj,Karaj,"Kuj, Rudavar",syriaca.org/place/4253,,,,,,,,8,9,,,,,,"8, 9",828
Karajigach,Karajigach,,syriaca.org/place/4294,,,,,,,,,,10,,,,,10,828
Karakum Desert,Karakum Desert,,syriaca.org/place/4255,,,,,,,,,9,10,,,,,"9, 10",828
Karemlesh,Karemlesh,,syriaca.org/place/110,,,,,,,,,,,,,,14,14,828
Karka d-Beth Slokh,Karka d-Beth Slokh,Kirkuk,syriaca.org/place/108,1,,,,,,7,,,,,,,,"1, 7",828
Karka d-Ledan,Karka d-Ledan,Ivan-e Karkha,syriaca.org/place/656,,,,,,,,8,,,,,,,8,828
Karka d-Maishan,Karka d-Maishan,,syriaca.org/place/4028,1,,,,,,,8,9,,,,,,"1, 8, 9",828
Karka d-Piroz,Karka d-Piroz,,syriaca.org/place/4191,,,,,,,7,8,,,,,,,"7, 8",829
Karkha River,Karkha River,,syriaca.org/place/4534,,,,4,,,7,8,,,,,,,"4, 7, 8",829
Kars,Kars,,syriaca.org/place/4029,1,2,,,,,,,,,,,,,"1, 2",829
Karun River,Karun River,,syriaca.org/place/4208,,,,,,,,8,,,,,,,8,829
Kashan,Kashan,Qashan,syriaca.org/place/4268,,,,,,,,,9,,,,,,9,829
Kashgar,Kashgar,,syriaca.org/place/4295,,,,,,,,,,10,11,,,,"10, 11",829
Kashkar,Kashkar,Wasiṭ,syriaca.org/place/111,1,,,,,,,8,9,,,,,,"1, 8, 9",829
Kaveri River ,Kaveri River ,,syriaca.org/place/4437,,,,,,,,,,,,12,,,12,829
Kayseri,Kayseri,Caesarea,syriaca.org/place/60,,2,,,,,,,,,,,,,2,829
Kellia,Kellia,,syriaca.org/place/4131,,,,,5,,,,,,,,,,5,829
Kerala,Kerala,,syriaca.org/place/602,,,,,,,,,,,,12,13,,"12, 13",829
Kerend,Kerend,,syriaca.org/place/4192,,,,,,,7,8,,,,,,,"7, 8",829
Khabur River,Khabur River,,syriaca.org/place/114,1,2,,,,,7,,,,,,,14,"1, 2, 7, 14",829
Khanaqin,Khanaqin,,syriaca.org/place/4078,,2,,,,,7,8,,,,,,,"2, 7, 8",829
Khanbaliq,Khanbaliq,Beijing,syriaca.org/place/2539,,,,,,,,,,,11,,,,11,829
Kharg Island,Kharg Island,,syriaca.org/place/4160,,,,,,6,,,9,,,,,,"6, 9",829
Khartoum,Khartoum,,syriaca.org/place/4161,,,,,,6,,,,,,,,,6,829
Khiva,Khiva,,syriaca.org/place/4296,,,,,,,,,,10,,,,,10,829
Khorasan,Khorasan,,syriaca.org/place/603,,,,,,,,,9,10,,,,,"9, 10",829
Khorramshahr,Khorramshahr,Muḥammara,syriaca.org/place/4065,,2,,,,,,8,,,,,,,"2, 8",829
Khotan,Khotan,,syriaca.org/place/4297,,,,,,,,,,10,11,,,,"10, 11",829
Khuzistan,Khuzistan,"Beth Ḥuzaye, Elam",syriaca.org/place/929,,2,,,,,,8,,,,,,,"2, 8",829
Khwarazm,Khwarazm,,syriaca.org/place/4475,,,,,,,,,,10,,,,,10,829
Kirkuk,Kirkuk,Karka d-Beth Slokh,syriaca.org/place/108,,2,,,,,7,,,,,,,,"2, 7",829
Kirman,Kirman,Veh-Ardashir,syriaca.org/place/4233,,,,,,,,,9,,,,,,9,829
Kirman,Kirman,,syriaca.org/place/4256,,,,,,,,,9,,,,,,9,829
Klysma,Klysma,Qulzum,syriaca.org/place/4132,,,,,5,,,,,,,,,,5,829
Kochi ,Kochi ,Cochi,syriaca.org/place/507,,,,,,,,,,,,12,13,,"12, 13",829
Kodungallur,Kodungallur,Cranganore,syriaca.org/place/4430,,,,,,,,,,,,12,,,12,829
Kokhe,Kokhe,"Maḥoza, Veh-Ardashir",syriaca.org/place/475,1,,,,,,,8,,,,,,,"1, 8",829
Kolkata,Kolkata,Calcutta,syriaca.org/place/4348,,,,,,,,,,,11,,,,11,829
Kollam,Kollam,Quilon,syriaca.org/place/4441,,,,,,,,,,,,12,,,12,829
Konya,Konya,,syriaca.org/place/440,,2,,,,,,,,,,,,,2,829
Konye-Urgench,Konye-Urgench,Gurganj,syriaca.org/place/4298,,,,,,,,,,10,,,,,10,829
Korea,Korea,,syriaca.org/place/4373,,,,,,,,,,,11,,,,11,829
Korla,Korla,,syriaca.org/place/4300,,,,,,,,,,10,,,,,10,829
Kormakitis,Kormakitis,Kurmajit,syriaca.org/place/4104,,,3,,,,,,,,,,,,3,829
Koshang,Koshang,,syriaca.org/place/4374,,,,,,,,,,,11,,,,11,829
Kothamangalam ,Kothamangalam ,,syriaca.org/place/4509,,,,,,,,,,,,12,,,12,829
Kottayam ,Kottayam ,,syriaca.org/place/1947,,,,,,,,,,,,12,13,,"12, 13",829
Koy Sanjak,Koy Sanjak,,syriaca.org/place/4459,,,,,,,,,,,,,,14,14,829
Kozhikode,Kozhikode,Calicut,syriaca.org/place/4425,,,,,,,,,,,,12,,,12,829
Krishna River,Krishna River,,syriaca.org/place/4375,,,,,,,,,,,11,,,,11,829
Krorain,Krorain,Loulan,syriaca.org/place/4305,,,,,,,,,,10,11,,,,"10, 11",829
Kucha,Kucha,,syriaca.org/place/4301,,,,,,,,,,10,11,,,,"10, 11",829
Kufa,Kufa,,syriaca.org/place/4079,,2,,,,,,8,,,,,,,"2, 8",829
Kuj,Kuj,"Karaj, Rudavar",syriaca.org/place/4253,,,,,,,,8,9,,,,,,"8, 9",829
Kunlun Shan,Kunlun Shan,,syriaca.org/place/4376,,,,,,,,,,10,11,,,,"10, 11",829
Kunming,Kunming,Yunnanfu,syriaca.org/place/4423,,,,,,,,,,,11,,,,11,829
Kura River,Kura River,,syriaca.org/place/4030,1,2,,,,,,,,,,,,,"1, 2",829
Kuravilangad,Kuravilangad,,syriaca.org/place/4511,,,,,,,,,,,,,13,,13,829
Kurmajit,Kurmajit,Kormakitis,syriaca.org/place/4104,,,3,,,,,,,,,,,,3,829
Kyzylkum Desert,Kyzylkum Desert,,syriaca.org/place/4302,,,,,,,,,,10,11,,,,"10, 11",829
