Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
Add. 17,224, foll. 73, 74	Add.17-224-foll.73-74	1#95	CLI	151	Approx. 13c-14c	998				Daniel	Drafted and edited	Tucker, 12/30
Add. 17,225	Add.17-225	1#72-73	CXVII	117	Approx. 13c	1002				Daniel 	Drafted	
Add. 17,226	Add.17-226	1#79	CXXIV	124	Approx. 13c-14c	1003				Tucker	Drafted	
Add. 17,227	Add.17-227	1#94-95	CXLVII	147	1254	1004				Erin and Justin	Drafted	
Add. 17,228, foll. 1-37	Add.17-228-foll.1-37	1#96	CLIII	153	Approx. 13c	1006				Tucker	Drafted	
Add. 17,228, foll. 38-64	Add.17-228-foll.38-64	1#83	CXXXI	131	Approx. 13c	1007				Tucker	Drafted	
Add. 17,231	Add.17-231	1#299-301	CCCLXIV	364	1484	1014				Jessie	Drafted and edited	Lindsay 5/28/2020
Add. 17,232	Add.17-232	1#371-374	CCCCLXIX	469	1210	1015				Jessie	Drafted and edited	Lindsay 5/28/2020
Add. 17,234	Add.17-234	1#317-318	CCCCVII	407	Approx. 13c	1019				Anna	Drafted and edited	Lindsay 5/28/2020
Add. 17,235	Add.17-235	1#276-277	CCCXXXIII	333	Approx. 13c (early)	1020				Anna	Drafted and edited	Lindsay 5/28/2020
Add. 17,236	Add.17-236	1#318-320	CCCCVIII	408	1284	1021				Jessie	Drafted and edited	Lindsay 5/28/2020
Add. 17,237	Add.17-237	1#306-307	CCCLXXVIII	378	Approx. 13c-14c	1022				Anna	Drafted and edited	Lindsay 5/29/2020
Add. 17,238	Add.17-238	1#353-354	CCCCXXXIX	439	Approx. 13c	1023				Jessie	Drafted and edited	Lindsay 5/29/2020
Add. 17,240	Add.17-240	1#326-327	CCCCXVII	417	Approx. 13c	1027				Jessie	Drafted and edited	Lindsay 5/29/2020
Add. 17,241	Add.17-241	1#312	CCCXCII	392	Approx. 13c	1028				Jacob	Drafted	
Add. 17,244	Add.17-244	1#354	CCCCXL	440	Approx. 13c	1033				Jessie	Drafted and edited	Lindsay 5/29/2020
Add. 17,245	Add.17-245	1#301-302	CCCLXVI	366	Approx. 13c	1034				Anna	Drafted and edited	Lindsay 5/29/2020
Add. 17,247	Add.17-247	1#350-351	CCCCXXXVI	436	Approx. 12c	1039				Jessie	Drafted and edited	Lindsay 5/29/2020
Add. 17,248	Add.17-248	1#369	CCCCLXIV	464	Approx. 12c	1040				Jessie	Drafted and edited	Lindsay 5/29/2020
Add. 17,249	Add.17-249	1#303-304	CCCLXXIII	373	Approx. 13c-14c	1041				Jessie	Drafted	
Add. 17,250	Add.17-250	1#313-314	CCCXCV	395	Approx. 13c	1042				Jessie	Drafted	
Add. 17,251	Add.17-251	1#354-355	CCCCXLI	441	Approx. 13c	1043				Jessie	Drafted and edited	Lindsay 5/29/20
Add. 17,252	Add.17-252	1#296-297	CCCLVIII	358	Approx. 13c-14c	1044				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,254	Add.17-254	1#355-356	CCCCXLII	442	Approx. 13c	1048				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,255	Add.17-255	1#357-358	CCCCXLVII	447	Approx. 13c	1049				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,257, foll. 84-94	Add.17-257-foll.84-94	1#37	LVI	56	Approx. 13c	1063				Daniel	Drafted	
Add. 17,259	Add.17-259	1#356-357	CCCCXLIII	443	Approx. 13c	1072				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,260	Add.17-260	1#397-398	DXXI	521	Approx. 12c-13c	1073				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,261, foll. 1-8	Add.17-261-foll.1-8	1#357	CCCCXLV	445	Approx. 13c	1075				Peter	Drafted	
Add. 17,261, foll. 9-66	Add.17-261-foll.9-66	1#358-359	CCCCXLIX	449	Approx. 13c-14c	1076				Peter	Drafted	
Add. 17,261, foll. 67-149	Add.17-261-foll.67-149	1#314	CCCXCVII	397	Approx. 16c	1077				Peter	Drafted	
Add. 17,263	Add.17-263	3#1079-1080	DCCCCXXXI	931	Approx. 13c	1079				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,264	Add.17-264	3#1078-1079	DCCCCXXX	930	Approx. 13c	1080				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,267, foll. 1-8	Add.17-267-foll.1-8	2#481	DCII	602	Approx. 13c	1086				Justin	Drafted	
Add. 17,267, foll. 9-12	Add.17-267-foll.9-12	2#884	DCCCXLIV	844	Approx. 13c	1087				Justin	Drafted	
Add. 17,267, foll. 13-22	Add.17-267-foll.13-22	2#884-885	DCCCXLV	845	Approx. 13c	1088				Justin	Drafted	
Add. 17,267, foll. 23-33	Add.17-267-foll.23-33	2#885	DCCCXLVI	846	Approx. 13c	1089				Justin	Drafted	
Add. 17,267, foll. 34-49	Add.17-267-foll.34-49	2#885-886	DCCCXLVII	847	Approx. 13c	1090				Justin	Drafted	
Add. 17,267, foll. 50-75	Add.17-267-foll.50-75	3#1146	DCCCCLXIV	964	Approx. 13c	1091				Justin 	Drafted	
Add. 17,268	Add.17-268	1#129	CLXXXIV	184	Approx. 12c	1092				Jessie	Drafted and edited	Lindsay 5/30/20
Add. 17,269, foll. 1-38	Add.17-269-foll.1-38	1#382	CCCCXCIII	493	1499	1094				Peter	Drafted	
Add. 17,269, foll. 39-80	Add.17-269-foll.39-80	1#357	CCCCXLIV	444	Approx. 13c	1095				Peter	Drafted	
Add. 17,269, foll. 81-88	Add.17-269-foll.81-88	1#213	CCLXXXI	281	Approx. 15c	1096				Peter	Drafted	
Add. 17,269, foll. 89-92	Add.17-269-foll.89-92	1#378	CCCCLXXXI	481	Approx. 14c	1097				Peter	Drafted	
Add. 17,270	Add.17-270	2#482	DCV	605	Approx. 9c	1098				Peter	Drafted	
Add. 17,271	Add.17-271	1#297-298	CCCLX	360	Approx. 12c-13c	1099				Peter	Drafted	
Add. 17,272, foll. 1-29	Add.17-272-foll.1-29	1#311	CCCLXXXVIII	388	Approx. 13c	1101				Peter	Drafted	
Add. 17,272, foll. 30-63	Add.17-272-foll.30-63	2#517	DCLXXI	671	1565	1102				Peter	Drafted	
Add. 17,272, foll. 64-67	Add.17-272-foll.64-67	3#1148	DCCCCLXVIII	968	Approx. 12c	1103				Peter	Drafted	
Add. 17,272, foll. 68-74	Add.17-272-foll.68-74	2#1022-1023	DCCCLXXIX	879	Approx. 13c	1104				Peter	Drafted	
Add. 17,272, foll. 75-99	Add.17-272-foll.75-99	1#298	CCCLXI	361	Approx. 13c	1105				Peter	Drafted	
Add. 17,272, foll. 100-105	Add.17-272-foll.100-105	1#296	CCCLVI	356	Approx. 13c	1106				Peter	Drafted	
Add. 17,272, foll. 106-112	Add.17-272-foll.106-112	1#324	CCCCXI	411	Approx. 13c	1107				Peter	Drafted	
Add. 17,274	Add.17-274	2#620	DCCXX	720	Approx. 11c-12c	1109				Anna	Drafted	Jessie
Add. 17,922	Add.17-922	1#60	LXXXIV	84	1222-3	1110				Tucker	Drafted	
Add. 17,983	Add.17-983	1#61-62	LXXXVI	86	1438	1112				Tucker	Drafted	
Add. 18,295	Add.18-295	3#1183-1184	MII	1002	1603	1113				Peter	Drafted	
Add. 18,715	Add.18-715	1#18-20	XXXII	32	Approx. 12c	1116				Daniel	Drafted	
Add. 18,812	Add.18-812	1#83	CXXIX	129	Approx. 6c-7c	1118				Tucker	Drafted	
Add. 18,814, foll. 1-102	Add.18-814-foll.1-102	2#734-736	DCCLXVII	767	Approx. 7c-8c	1121				Peter	Drafted	
Add. 18,814, foll. 103-262	Add.18-814-foll.103-262	2#793-796	DCCXCVII	797	Approx. 9c	1122				Peter	Drafted	
Add. 18,815	Add.18-815	2#436-437	DLIX	559	Approx. 9c	1123				Justin	Drafted	
Add. 18,818	Add.18-818	2#489	DCXVII	617	Approx. 7c	1126				Peter	Drafted	
Add. 18,821	Add.18-821	2#775-776	DCCLXXXVI	786	Approx. 9c	1134				Jessie	Drafted and edited	Lindsay 05/30/20
Add. 21,031	Add.21-031	1#327-328	CCCCXVIII	418	1213	1135				Jessie	Drafted	Lindsay
Add. 21,211	Add.21-211	3#1180-1182	MI	1001	1831	1137				Jessie	Drafted	Lindsay
Add. 21,454	Add.21-454	3#1165-1167	DCCCCXCV	995	Approx. 13c	1138				Peter	Drafted	
Add. 21,580	Add.21-580	2#624-626	DCCXXIII	723	1478	1139				Jessie	Drafted	Lindsay
Add. 22,370	Add.22-370	2#500-501	DCXXIX	629	Approx. 14c-15c	1140				Kayla	Drafted	
Add. 23,596	Add.23-596	2#626-628	DCCXXIV	724	1720	1141				Jessie	Drafted	Lindsay
Add. 23,597	Add.23-597	3#1173-1174	DCCCCXCVIII	998	Approx. 18c	1142				Jessie	Drafted	Lindsay
Add. 25,874	Add.25-874	1#213-214	CCLXXXII	282	1740	1143				Jessie	Drafted	Lindsay
Add. 25,877	Add.25-877	3#1179	M	1000	1733	1146				Jessie	Drafted	Lindsay
Add. 26,552	Add.26-552	1#137-138	CXCVIII	198	Approx. 14c	1150				Jessie	Drafted	Lindsay
Egerton 703	Egerton703	1#237-239	CCCV	305	1683	1152				Jessie	Drafted	Lindsay
Egerton 704	Egerton704	1#1-3	I	1	Approx. 17c	1153				Tucker	Drafted	
Egerton 709	Egerton709	3#1190-1191	MVII	1007	Approx. 16c	1154				Jessie	Drafted	Lindsay
Harl. 5512	Harl.5512	1#214-216	CCLXXXIII	283	1549	1155				Jessie	Drafted	Lindsay
Sloane 3597	Sloane3597	1#236-237	CCCIV	304	1701-2	1157				Jessie	Drafted	Lindsay
Add. 14,459, fol. 12	Add.14-459-fol.12	1#64	XC	90	Approx. 6c	1171				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,459, fol. 74	Add.14-459-fol.74	1#68	CI	101	Approx. 6c	1172				Tucker	Drafted and edited	Tucker, 1/2/2014
Add. 14,432, foll. 1-122	Add.14-432-foll.1-122	1#21	XXXIV	34	Approx. 6c	1173				Daniel	Drafted and edited	Tucker, 8/21
Add. 14,432, fol. 121	Add.14-432-fol.121	1#21	XXXIV	34		1174				Tucker	Drafted and edited	
Add. 14,437, foll. 123-124	Add.14-437-foll.123-124	1#34	LIII	53		1175				Tucker	Drafted and edited	Tucker, 8/28
Add. 14,666 fol. 52	Add.14-666fol.52	1#93	CXLIV	144		1178				Daniel	Drafted and edited	Tucker, 12/26
Add. 14,484, foll. 9-11	Add.14-484-foll.9-11	1#99-100	CLIX	159	Approx. 9c	1181				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 12,172, foll. 136-164	Add.12-172-foll.136-164	1#6-7	VII	7	Approx. 9c-10c	1182				Tucker	Drafted and edited	Tucker, 11/9
Add. 14,438, foll. 50-52	Add.14-438-foll.50-52	1#14	XXI	21	Approx. 6c	1183				Tucker	Drafted and edited	Tucker, 11/16
Add. 17,182, foll. 175	Add.17-182-foll.175	2#405	DXXX	530	Approx. 6c	1184				Justin	Drafted	
Add. 14,664, foll 3-7, 9-17	Add.14-664-foll3-7-9-17	1#203	CCLIV	254	Approx. 13c	1187				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,664, foll. 18, 19, 30-32	Add.14-664-foll.18-19-30-32	1#389	DVI	506	Approx. 12c-13c	1188				Tucker	Drafted and edited	Tucker, 2/21/2014
Add. 14,543, fol. 1	Add.14-543-fol.1	2#420	DL	550	Approx. 6c	1189				Justin	Drafted	
Add. 14,543, fol. 1-147	Add.14-543-fol.1-147	2#419-420	DL	550	Approx. 6c	1190				Justin	Drafted	
Add. 14,445, foll. 1-3a	Add.14-445-foll.1-3a	1#26	XLI	41	Approx. 8c-9c	1191				Tucker	Drafted and edited	Daniel, 8/27
Add. 14,445, foll. 3b-48	Add.14-445-foll.3b-48	1#26-7	XLI	41	532	1192				Tucker	Drafted and edited	Daniel, 8/27
Add. 14,457, foll. 1-198	Add.14-457-foll.1-198	1#47	LXX	70	Approx. 6c-7c	1193				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,457, foll. 199-200	Add.14-457-foll.199-200	1#47	LXX	70	Approx. 12c-13c	1194				Tucker	Drafted and edited	Tucker, 11/16
Add. 14,683, foll. 1-102	Add.14-683-foll.1-102	2#610-611	DCCXIV	714	Approx. 10c	1195				Daniel 	Drafted and edited	Justin, 9/24/2014
Add. 14,683, foll. 103-141	Add.14-683-foll.103-141	2#611-612	DCCXIV	714	Approx. 10c	1196				Daniel 	Drafted and edited	Justin, 9/24/2014
Add. 17,165, foll. 1-8	Add.17-165-foll.1-8	2#654-655	DCCXXXIII	733	Approx. 11c-12c	1215				Julia	Drafted	Justin 3/11/2015
Add. 17,165, foll. 9-114	Add.17-165-foll.9-114	2#654-655	DCCXXXIII	733	Approx. 6c	1216				Julia	Drafted	Justin 3/11/2015
Add. 12,163, foll. 127-224	Add.12-163-foll.127-224	2#834-836	DCCCXIX	819	Approx. 10c-11c	1224				Justin	Drafted	
Add. 12,163, foll. 224-304	Add.12-163-foll.224-304	2#834-836	DCCCXIX	819	Approx. 10c-11c	1225				Justin	Drafted	
Add. 12,160, foll. 153-185	Add.12-160-foll.153-185	3#1090-1091	DCCCCXLII	942	Approx. 7c	1226				Justin	Drafted	
Add. 14,555, foll. 1-43a	Add.14-555-foll.1-43a	2#483-484	DCIX	609	Approx. 6c-7c	1227				Justin	Drafted	
Add. 14,555, foll. 43b-44	Add.14-555-foll.43b-44	2#484	DCIX	609	Approx. 9c	1228				Justin	Drafted	
Add. 14,500, lower text	Add.14-500-lowertext	1#230	CCXCIV	294	Approx. 7c	1395				Aaron	Drafted	
Add. 14,500, upper text	Add.14-500-uppertext	1#230	CCXCIV	294	Approx. 11c	1396				Aaron	Drafted	
Add. 14,606, foll. 1-6	Add.14-606-foll.1-6	2#744-745	DCCLXXII	772		1397				James	drafted	
Add. 14,606, foll. 7-58, 60-136, 141-146	Add.14-606-foll.7-58-60-136-141-146	2#744-745	DCCLXXII	772		1398				James	drafted	
Add. 14,606, fol. 59	Add.14-606-fol.59	2#744-745	DCCLXXII	772		1399				James	drafted	
Add. 14,606, foll. 137-140	Add.14-606-foll.137-140	2#744-745	DCCLXXII	772		1400				James	drafted	
Add 14,646, foll. 183-194, lower text	Add14-646-foll.183-194-lowertext	3#1087	DCCCCXXXIX	939		1401				Peter	Drafted	
Add. 14,512	Add.14-512	1#250-251	CCCXII	312	Approx. 10c	1402				Prince	Drafted	
Add. 14,523, fol. 38 lower text	Add.14-523-fol.38lowertext		CCCLI	351		1406				Peter	Drafted	
Add. 14,523 foll. 39-46 lower text	Add.14-523foll.39-46lowertext		DIV	504		1407				Peter	Drafted	
Add. 17,215, foll. 7, 8 lower text	Add.17-215-foll.7-8lowertext	3#1165	DCCCCXCIV	994	6c	1408				Peter	Drafted	
Add. 17,215, foll. 22-25 lower text	Add.17-215-foll.22-25lowertext	1#388	DIII	503	Approx. 9c	1409				Peter	Drafted	
Add. 17,215, foll. 35 (fly-leaf)	Add.17-215-foll.35(fly-leaf)	2#840	DCCCXXIII	823		1410				Peter	Drafted	
Add. 14,490 upper text	Add.14-490uppertext	1#159-161	CCXXV	225	1089	1411				Peter	Drafted	
Add 14,490 lower text	Add14-490lowertext	1#159-161	CCXXV	225		1412				Peter	Drafted	
Add. 18,817, foll. 1-136	Add.18-817-foll.1-136	2#803-806	DCCCI	801	Approx. 9c	1413				Peter	Drafted	
Add. 18,817, foll. 137-154, upper text	Add.18-817-foll.137-154-uppertext	2#803-806	DCCCI	801	Approx. 12c	1414				Peter	Drafted	
Add. 14,506, foll. 85-96, lower text	Add.14-506-foll.85-96-lowertext	1#368	CCCCLXIII	463		1415				Peter	Drafted	
Add. 14,506, foll. 97-110, lower text	Add.14-506-foll.97-110-lowertext	1#367	CCCCLX	460		1416				Peter	Drafted	
Add. 14,541, foll. 11-18	Add.14-541-foll.11-18	2#501-502	DCXXX	630	Approx. 9c	1417				Peter	Drafted	
Add. 14,541, foll. 19-24	Add.14-541-foll.19-24	2#501-502	DCXXX	630	Approx. 9c	1418				Peter	Drafted	
Add. 14,541, foll. 25-26	Add.14-541-foll.25-26	2#501-502	DCXXX	630	Approx. 9c	1419				Peter	Drafted	
Add. 14,541, foll. 27-28	Add.14-541-foll.27-28	2#501-502	DCXXX	630	Approx. 9c	1420				Peter	Drafted	
Add. 14,541, foll. 29-38	Add.14-541-foll.29-38	2#501-502	DCXXX	630	Approx. 9c	1421				Peter	Drafted	
Add. 17,243, foll. 1-5, 7-174	Add.17-243-foll.1-5-7-174	1#290-291	CCCXLV	345	Approx. 13c	1422				Will Potter	Drafted	msParts, edit with full ms
Add. 17,243, foll. 6 (fly-leaf)	Add.17-243-foll.6(fly-leaf)	1#290-291	CCCXLV	345	Approx. 13c	1423				Will Potter	Drafted	msParts, edit with full ms
Add. 17,265, foll. 2-105	Add.17-265-foll.2-105	3#1140-1141	DCCCCLXII	962	Approx. 13c	1424				Will Potter	Drafted	msParts, edit with full ms
Add. 17,265, foll. 1 (fly-leaf)	Add.17-265-foll.1(fly-leaf)	3#1140-1141	DCCCCLXII	962	Approx. 13c	1425				Will Potter	Drafted	msParts, edit with full ms
Add. 12,162, foll. 1-213, 216a	Add.12-162-foll.1-213-216a	2#721-723	DCCLIX	759	Approx. 7c	1426				Will Potter	Drafted	msParts, edit with full ms
Add. 12,162, foll. 214, 215, 216a-230b	Add.12-162-foll.214-215-216a-230b	2#721-723	DCCLIX	759	Approx. 9c	1427				Will Potter	Drafted	msParts, edit with full ms
Add. 14,718, upper text	Add.14-718-uppertext	1#298-299	CCCLXIII	363	Approx. 13c	1428				Will Potter	Drafted	msParts, edit with full ms
Add. 14,718, lower text	Add.14-718-lowertext	1#298-299	CCCLXIII	363	Approx. 13c	1429				Will Potter	Drafted	msParts, edit with full ms
Add. 14,496, palimpsest upper	Add.14-496-palimpsestupper	1#223-225	CCLXXXVII	287	Approx. 10c	1430				Will Potter	Drafted	msParts, edit with full ms
Add. 14,496, palimpsest lower 1	Add.14-496-palimpsestlower1	1#223-225	CCLXXXVII	287	Approx. 6c-7c	1431				Will Potter	Drafted	msParts, edit with full ms
Add. 14,496, palimpsest lower 2	Add.14-496-palimpsestlower2	1#223-225	CCLXXXVII	287	Approx. 6c	1432				Will Potter	Drafted	msParts, edit with full ms
Add. 14,496, palimpsest lower 3	Add.14-496-palimpsestlower3	1#223-225	CCLXXXVII	287	Approx. 7c	1433				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, upper text	Add.17-206-uppertext	2#859-860	DCCCXXXI	831	Approx. 11c-12c	1434				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, foll. 1-42, lower text	Add.17-206-foll.1-42-lowertext	2#859-860	DCCCXXXI	831	Approx. 9c	1435				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, foll. 43-87, lower text	Add.17-206-foll.43-87-lowertext	2#859-860	DCCCXXXI	831	Approx. 7c	1436				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, upper text 2	Add.17-212-uppertext2	2#479-480	DXCVIII	598	Approx. 9c-10c	1437				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, upper text 1	Add.17-212-uppertext1	2#479-480	DXCVIII	598	Approx. 8c-9c	1438				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, lower text	Add.17-212-lowertext	2#479-480	DXCVIII	598	Approx. 6c-7c	1439				Will Potter	Drafted	msParts, edit with full ms
Add. 12,145 upper text	Add.12-145uppertext	1#251-254	CCCXIII	313	Approx. 10c	1440				Will Potter	Drafted	msParts, edit with full ms
Add. 12,145 lower text	Add.12-145lowertext	1#251-254	CCCXIII	313		1441				Will Potter	Drafted	msParts, edit with full ms
Add. 14,487 upper text	Add.14-487uppertext	1#152-154	CCXXII	222	824	1442				Will Potter	Drafted	msParts, edit with full ms
Add. 14,487 lower text	Add.14-487lowertext	1#152-154	CCXXII	222		1443				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507 upper text	Add.14-507uppertext	1#283-285	CCCXL	340	Approx. 10c-11c	1444				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507, foll. 139-205 lower text	Add.14-507-foll.139-205lowertext	1#283-285	CCCXL	340	Approx. 7c-8c	1445				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507, foll. 1-108, 113-138, 206-212 lower text	Add.14-507-foll.1-108-113-138-206-212lowertext	1#283-285	CCCXL	340	Approx. 9c-10c	1446				Will Potter	Drafted	msParts, edit with full ms
Add. 14,486 upper text	Add.14-486uppertext	1#149-152	CCXXI	221	824	1447				Will Potter	Drafted	msParts, edit with full ms
Add. 14,486, foll. 1, 3, 8 lower text	Add.14-486-foll.1-3-8lowertext	1#149-152	CCXXI	221	824	1448				Will Potter	Drafted	msParts, edit with full ms
Add. 18,817, foll. 137-154, upper text	Add.18-817-foll.137-154-uppertext	2#803-806	DCCCI	801	Approx. 9c	1449				Will Potter	Drafted	msParts, edit with full ms
