	Catalog pp# (volume#pages)	Wright’s Numeration	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 17,253, foll. 70-103	1#381	CCCCLXXXIX	#N/A	489	Approx. 13c	1047							
Add. 17,129	1#383	CCCCXCIV	#N/A	494	Approx. 7c-8c	758							
Add. 17,218, foll. 48, 49	1#384	CCCCXCVIII	#N/A	498	Approx. 9c-10c	963				Tucker	Framework established for a later stage		
Add. 14,524, foll. 12-21	1#349	CCCCXXXII	#N/A	432	Approx. 11c	238				Tucker	Framework established for a later stage		
Add. 14,515	1#240-243	CCCVI	306	306	893	209							
Add. 14,669, foll. 20, 21	1#204	CCLV	255	255	Approx. 6c	499				Tucker	Framework established for a later stage		
Add. 14,667, foll, 13-16	1#233	CCXCVIII	298	298	Approx. 9c-10c	464							
Add. 17,217, fol. 54	1#146	CCXIX	219	219	Approx. 6c-7c	948				Daniel	Framework established for a later stage		
Add. 17,110	1#116-119	CLXVIII	168	168	600 (at latest)	739							
Add. 14,732, foll. 1-227	3#1141-1146	DCCCCLXIII	#N/A	963	Approx. 13c	640							
Add. 14,735, foll. 51-71	3#1148	DCCCCLXIX	#N/A	969	Approx. 12c-13c	650							
Add. 14,737, foll. 85, 86	3#1146	DCCCCLXV	#N/A	965	Approx. 13c	687							
Add. 14,734, foll. 1-176	3#1147-1148	DCCCCLXVII	#N/A	967	1085	645							
Add. 14,738, foll. 106, 107	3#1149	DCCCCLXX	#N/A	970	Approx. 12c-13c	712				Daniel	Framework established for a later stage		
Add. 14,735, foll. 24-50	3#1149	DCCCCLXXI	#N/A	971	Approx. 13c	649							
Add. 14,631, foll. 1-16	3#1149	DCCCCLXXII	#N/A	972	Approx. 10c	379							
Add. 14,657	3#1150	DCCCCLXXIV	#N/A	974	Approx. 9c	425				DEMO			
Add. 14,735, foll. 1-23	3#1151	DCCCCLXXIX	#N/A	979	Approx. 13c	648							
Add. 14,738, foll. 90-104	3#1150	DCCCCLXXV	#N/A	975	Approx. 13c	710				Daniel	Framework established for a later stage		
Add. 17,213, fol. 19	3#115	DCCCCLXXVII	977	977	Approx. 10c-11c	886				Tucker	Framework established for a later stage		
Add. 14,622	3#1150-1151	DCCCCLXXVIII	#N/A	978	Approx. 9c	362							
Add. 14,665, foll. 8, 9	3#1151	DCCCCLXXXI	#N/A	981	Approx. 8c	439							
Add. 14,484, foll. 48-133	3#1152	DCCCCLXXXII	982	982	Approx. 6c	173				Tucker	Framework established for a later stage		
Add. 14,484, foll. 134-152	3#1152-1153	DCCCCLXXXIII	983	983	Approx. 6c	174				Tucker	Framework established for a later stage		
Add. 14,738, fol. 105	3#1153	DCCCCLXXXVI	#N/A	986	Approx. 13c	711				Daniel	Framework established for a later stage		
Add. 14,660	3#1160-1162	DCCCCLXXXVIII	#N/A	988	Approx. 9c-10c	428							
Add. 17,217, foll. 37, 38	3#1168-1172	DCCCCXCVI	#N/A	996	Approx. 9c-10c	933				Daniel	Framework established for a later stage		
Add. 17,202	3#1046-1061	DCCCCXIX	#N/A	919	Approx. 6c (late)- 7c(early)	864							
Add. 14,642	3#1041-1042	DCCCCXVI	#N/A	916	Approx. 10c	406							
Add. 25,875	3#1064-1069	DCCCCXXII	#N/A	922	1709-10	1144							
Add. 14,583	3#1076-1078	DCCCCXXIX	#N/A	929	Approx. 11c	319							
Add. 14,631, foll. 17-44	3#108	DCCCCXXXIII	#N/A	933	Approx. 9c-10c	380							
Add. 14,613	2#810-815	DCCCVI	806	806	Approx. 9c-10c	351							
Add. 14,631, foll. 45-53	2#815	DCCCVII	807	807	Approx. 9c-10c	381				DEMO			
Add. 14,579	2#815-818	DCCCVIII	808	808	913	315							
Add. 14,656	2#819	DCCCXI	811	811	Approx. 10c	424							
Add. 17,183	2#819-823	DCCCXII	812	812	Approx. 10c	837							
Add. 14,611	2#824-827	DCCCXIII	813	813	Approx. 10c	349							
Add. 12,171, foll. 1-64	2#587-588	DCCI	701	701	815	59							
Add. 14,593	2#590-591	DCCIV	704	704	817	329				Daniel 			
Add. 14,663	2#691-692	DCCLI	751	751	Approx. 6c-7c	431							
Add. 14,582	2#692-696	DCCLII	752	752	816	318							
Add. 14,602	2#701-715	DCCLIV	754	754	Approx. 6c-7c	338							
Add. 17,213, foll. 8-10	2#752	DCCLXXVI	776	776	Approx. 8c-9c	879				Tucker	Framework established for a later stage		
Add. 14,590	2#752-754	DCCLXXVII	777	777	Approx. 8c-9c	326				James			
Add. 14,629, foll. 1-24	2#754-756	DCCLXXVIII	778	778	Approx. 8c-9c	372							
Add. 17,168, foll. 114-153	2#777-778	DCCLXXXVIII	788	788	Approx. 9c	817							
Add. 12,172, foll. 65-135	2#592-605	DCCVII	707	707	Approx. 9c	66				Tucker	Framework established for a later stage		
Add. 17,208	2#613-617	DCCXVII	717	717	Approx. 9c	870							
Add. 14,726, foll. 87-128	2#617-618	DCCXVIII	718	718	Approx. 10c	621							
Add. 12,156	2#639-648	DCCXXIX	729	729	Approx. 6c (<562)	31							Catenae
Add. 18,296	2#628-630	DCCXXV	725	725	1714	1114							
Add. 17,181	2#661-668	DCCXXXVIII	738	738	Approx. 6c	833							
Add. 17,200	2#554-555	DCLXXXIX	689	689	Approx. 7c	858							
Add. 17,210-211	2#548-550	DCLXXXVII	687	687	Approx. 5c	872							
Add. 12,157	2#550-554	DCLXXXVIII	688	688	Approx. 7c-8c	32							Catenae
Add. 12,158	2#555-557	DCXC	690	690	Approx. 6c (588)	33							Catenae
Add. 14,728, foll. 208-238	2#581	DCXCVI	696	696	Approx. 12c-13c	627							
Add. 14,728, foll. 239-268	2#581-584	DCXCVII	697	697	Approx. 12c-13c	628							
Add. 14,729, foll. 199-234	2#584-585	DCXCVIII	698	698	Approx. 12c-13c	634							
Add. 17,198	2#503	DCXXXII	632	632	Approx. 7c	856							
Add. 17,242, foll. 1-104	2#504	DCXXXV	635	635	Approx. 11c-12c	1030							
Add. 17,130	1#392-393	DXIII	513	513	877	759							
